Date,Location Key,City,State/Region,Country,Timezone,Geoname ID,Special Events,Special Event Details,Note,Snapshot Source
2026-08-09,geoname:1269655|city:itanagar,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:08:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 04:44 AM to 07:23 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:10:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 04:46 AM to 07:23 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1269843|city:hyderabad,Hyderabad,Telangana,India,Asia/Kolkata,1269843,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:22:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:58 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:40:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:16 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:16:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 04:53 AM to 07:31 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:27:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:04 AM to 07:43 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:09:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 04:45 AM to 07:23 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:02:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 04:38 AM to 07:17 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:24:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:00 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1275004|city:kolkata,Kolkata,West Bengal,India,Asia/Kolkata,1275004,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:35:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:12 AM to 07:48 AM",,2026-08-09_IST.txt
